combat_nbr,winner,rounds,damage_dealt_Aarakocra Ranger,damage_dealt_Aragorn,damage_dealt_Wyvern,damage_dealt_Orc,turns_survived_Aragorn,turns_survived_Aarakocra Ranger,turns_survived_Orc,turns_survived_Wyvern,actions_used_Aragorn_Disengage,actions_used_Aragorn_Attack,actions_used_Aragorn_Dodge,actions_used_Aragorn_Dash,actions_used_Aarakocra Ranger_Attack,actions_used_Aarakocra Ranger_Dodge,actions_used_Aarakocra Ranger_Dash,actions_used_Aarakocra Ranger_Disengage,actions_used_Orc_Attack,actions_used_Orc_Dash,actions_used_Wyvern_Attack,actions_used_Wyvern_Dash,actions_used_Wyvern_Disengage,actions_used_Wyvern_Dodge,initiative_order_Aragorn,initiative_order_Aarakocra Ranger,initiative_order_Orc,initiative_order_Wyvern,actions_used_Orc_Dodge,actions_used_Orc_Disengage,reactions_used_Wyvern_Opportunity Attack,reactions_used_Orc_Opportunity Attack,attack_count_Aragorn,attack_count_Aarakocra Ranger,attack_count_Orc,attack_count_Wyvern,crit_count_Aragorn,crit_count_Aarakocra Ranger,crit_count_Orc,crit_count_Wyvern,total_crits,turns_no_damage,hp_end_Aragorn,hp_end_Aarakocra Ranger,hp_end_Orc,hp_end_Wyvern,damage_this_round,survival_sequence_Aragorn,survival_sequence_Aarakocra Ranger,survival_sequence_Orc,survival_sequence_Wyvern
20.0,enemies,15,24.0,17.0,80.0,17.0,10.0,15.0,6.0,15.0,,8.0,1.0,1.0,10.0,2.0,2.0,1.0,4.0,,14.0,,1.0,,0.0,1.0,2.0,3.0,1.0,1.0,,,8.0,10.0,8.0,14.0,1.0,1.0,0.0,2.0,4.0,2.0,0.0,0.0,0.0,61.0,10.0,"[True, True, True, True, True, True, True, True, True, True, False, False, False, False, False]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]","[True, True, True, True, True, True, False, False, False, False, False, False, False, False, False]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
21.0,enemies,31,38.0,22.0,92.0,6.0,10.0,31.0,5.0,31.0,,7.0,2.0,1.0,23.0,2.0,1.0,5.0,3.0,,22.0,2.0,1.0,6.0,0.0,1.0,2.0,3.0,2.0,,,,7.0,23.0,6.0,22.0,0.0,0.0,0.0,3.0,3.0,13.0,0.0,0.0,0.0,42.0,7.0,"[True, True, True, True, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]","[True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
22.0,enemies,9,8.0,12.0,43.0,54.0,8.0,9.0,9.0,9.0,2.0,6.0,,,4.0,1.0,3.0,1.0,7.0,,8.0,1.0,,,0.0,1.0,2.0,3.0,,2.0,,,6.0,4.0,14.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,70.0,28.0,"[True, True, True, True, True, True, True, True, False]","[True, True, True, True, True, True, True, True, True]","[True, True, True, True, True, True, True, True, True]","[True, True, True, True, True, True, True, True, True]"
23.0,enemies,6,20.0,4.0,18.0,88.0,6.0,6.0,6.0,6.0,,6.0,,,6.0,,,,5.0,,4.0,,2.0,,0.0,1.0,2.0,3.0,1.0,,,,6.0,6.0,10.0,4.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,6.0,70.0,31.0,"[True, True, True, True, True, True]","[True, True, True, True, True, True]","[True, True, True, True, True, True]","[True, True, True, True, True, True]"
24.0,enemies,21,32.0,44.0,73.0,19.0,16.0,21.0,9.0,21.0,,15.0,1.0,,16.0,2.0,1.0,2.0,7.0,,13.0,5.0,1.0,2.0,0.0,1.0,2.0,3.0,1.0,1.0,,,15.0,16.0,14.0,13.0,1.0,0.0,0.0,4.0,5.0,3.0,0.0,0.0,0.0,27.0,9.0,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]","[True, True, True, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
25.0,enemies,25,40.0,12.0,71.0,29.0,9.0,25.0,9.0,25.0,,8.0,,1.0,23.0,1.0,1.0,,6.0,,20.0,3.0,,2.0,0.0,1.0,2.0,3.0,2.0,1.0,,,8.0,23.0,12.0,20.0,0.0,1.0,0.0,1.0,2.0,8.0,0.0,0.0,0.0,49.0,10.0,"[True, True, True, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]","[True, True, True, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
26.0,enemies,11,20.0,5.0,29.0,72.0,6.0,11.0,11.0,11.0,1.0,5.0,,,9.0,1.0,1.0,,7.0,1.0,8.0,1.0,2.0,,0.0,1.0,2.0,3.0,1.0,2.0,,,5.0,9.0,14.0,8.0,1.0,0.0,4.0,0.0,5.0,2.0,0.0,0.0,5.0,70.0,10.0,"[True, True, True, True, True, True, False, False, False, False, False]","[True, True, True, True, True, True, True, True, True, True, True]","[True, True, True, True, True, True, True, True, True, True, True]","[True, True, True, True, True, True, True, True, True, True, True]"
27.0,enemies,11,17.0,7.0,64.0,38.0,7.0,11.0,11.0,11.0,,5.0,1.0,1.0,10.0,1.0,,,8.0,1.0,10.0,,,1.0,0.0,1.0,2.0,3.0,1.0,1.0,,,5.0,10.0,16.0,10.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,6.0,70.0,26.0,"[True, True, True, True, True, True, True, False, False, False, False]","[True, True, True, True, True, True, True, True, True, True, True]","[True, True, True, True, True, True, True, True, True, True, True]","[True, True, True, True, True, True, True, True, True, True, True]"
28.0,party,24,56.0,49.0,22.0,18.0,24.0,24.0,6.0,24.0,1.0,18.0,3.0,2.0,20.0,,2.0,2.0,5.0,,17.0,1.0,3.0,3.0,0.0,1.0,2.0,3.0,1.0,,,,18.0,20.0,10.0,17.0,1.0,3.0,2.0,0.0,6.0,3.0,18.0,32.0,0.0,0.0,10.0,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]","[True, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
29.0,enemies,14,18.0,4.0,17.0,90.0,11.0,14.0,14.0,14.0,3.0,6.0,,2.0,11.0,,1.0,2.0,11.0,2.0,11.0,1.0,1.0,1.0,0.0,1.0,2.0,3.0,1.0,,,,6.0,11.0,22.0,11.0,0.0,1.0,1.0,0.0,2.0,3.0,0.0,0.0,8.0,70.0,12.0,"[True, True, True, True, True, True, True, True, True, True, True, False, False, False]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
30.0,enemies,21,32.0,13.0,63.0,29.0,9.0,21.0,8.0,21.0,2.0,7.0,,,17.0,,,4.0,8.0,,17.0,1.0,1.0,2.0,0.0,1.0,2.0,3.0,,,,,7.0,17.0,16.0,17.0,0.0,1.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,58.0,7.0,"[True, True, True, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]","[True, True, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
31.0,enemies,17,28.0,7.0,60.0,44.0,6.0,17.0,7.0,17.0,,5.0,1.0,,11.0,2.0,3.0,1.0,6.0,,15.0,,1.0,1.0,0.0,1.0,2.0,3.0,1.0,,,,5.0,11.0,12.0,15.0,0.0,0.0,3.0,0.0,3.0,4.0,0.0,0.0,0.0,66.0,11.0,"[True, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]","[True, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
32.0,enemies,16,23.0,18.0,38.0,62.0,9.0,16.0,11.0,16.0,1.0,8.0,,,12.0,1.0,,3.0,7.0,1.0,12.0,3.0,1.0,,0.0,1.0,2.0,3.0,,3.0,,,8.0,12.0,14.0,12.0,1.0,0.0,2.0,2.0,5.0,2.0,0.0,0.0,0.0,65.0,8.0,"[True, True, True, True, True, True, True, True, True, False, False, False, False, False, False, False]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]","[True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
33.0,enemies,33,46.0,17.0,73.0,17.0,12.0,33.0,9.0,33.0,2.0,9.0,,1.0,23.0,2.0,6.0,2.0,7.0,,22.0,5.0,2.0,4.0,0.0,1.0,2.0,3.0,2.0,,,,9.0,23.0,14.0,22.0,0.0,1.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,39.0,11.0,"[True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]","[True, True, True, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
34.0,enemies,14,18.0,9.0,49.0,42.0,9.0,14.0,14.0,14.0,3.0,5.0,1.0,,8.0,,2.0,4.0,11.0,2.0,11.0,,1.0,2.0,0.0,1.0,2.0,3.0,,1.0,,,5.0,8.0,22.0,11.0,0.0,0.0,2.0,1.0,3.0,2.0,0.0,0.0,3.0,70.0,9.0,"[True, True, True, True, True, True, True, True, True, False, False, False, False, False]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
35.0,enemies,20,29.0,36.0,80.0,23.0,14.0,20.0,8.0,20.0,,11.0,2.0,1.0,12.0,2.0,4.0,2.0,6.0,1.0,15.0,2.0,2.0,1.0,0.0,1.0,2.0,3.0,1.0,,,,11.0,12.0,12.0,15.0,2.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,41.0,10.0,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False, False]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]","[True, True, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
36.0,enemies,31,58.0,9.0,79.0,15.0,11.0,31.0,7.0,31.0,,7.0,2.0,2.0,30.0,,,1.0,4.0,,20.0,5.0,4.0,2.0,0.0,1.0,2.0,3.0,1.0,2.0,,,7.0,30.0,8.0,20.0,0.0,3.0,0.0,0.0,3.0,9.0,0.0,0.0,0.0,36.0,9.0,"[True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]","[True, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
37.0,enemies,21,18.0,18.0,46.0,62.0,8.0,21.0,10.0,21.0,,7.0,,1.0,14.0,1.0,3.0,3.0,8.0,,16.0,,2.0,3.0,0.0,1.0,2.0,3.0,1.0,1.0,,,7.0,14.0,16.0,16.0,1.0,1.0,2.0,0.0,4.0,7.0,0.0,0.0,0.0,69.0,9.0,"[True, True, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]","[True, True, True, True, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
38.0,enemies,23,44.0,24.0,74.0,26.0,13.0,23.0,5.0,23.0,1.0,9.0,2.0,1.0,18.0,4.0,,1.0,4.0,1.0,19.0,1.0,,3.0,0.0,1.0,2.0,3.0,,,,,9.0,18.0,8.0,19.0,0.0,2.0,2.0,0.0,4.0,5.0,0.0,0.0,0.0,33.0,8.0,"[True, True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]","[True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
39.0,enemies,13,12.0,8.0,32.0,65.0,9.0,13.0,13.0,13.0,,9.0,,,11.0,1.0,1.0,,12.0,,11.0,1.0,1.0,,0.0,1.0,2.0,3.0,,1.0,,,9.0,11.0,24.0,11.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,10.0,70.0,9.0,"[True, True, True, True, True, True, True, True, True, False, False, False, False]","[True, True, True, True, True, True, True, True, True, True, True, True, True]","[True, True, True, True, True, True, True, True, True, True, True, True, True]","[True, True, True, True, True, True, True, True, True, True, True, True, True]"
40.0,enemies,10,25.0,9.0,51.0,49.0,8.0,10.0,10.0,10.0,1.0,7.0,,,8.0,,1.0,1.0,4.0,2.0,9.0,,,1.0,0.0,1.0,2.0,3.0,,4.0,,,7.0,8.0,8.0,9.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,70.0,25.0,"[True, True, True, True, True, True, True, True, False, False]","[True, True, True, True, True, True, True, True, True, True]","[True, True, True, True, True, True, True, True, True, True]","[True, True, True, True, True, True, True, True, True, True]"
41.0,enemies,25,28.0,27.0,77.0,21.0,10.0,25.0,7.0,25.0,,10.0,,,18.0,2.0,2.0,3.0,6.0,,21.0,1.0,1.0,2.0,0.0,1.0,2.0,3.0,1.0,,,,10.0,18.0,12.0,21.0,1.0,1.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,45.0,8.0,"[True, True, True, True, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]","[True, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
42.0,enemies,20,31.0,31.0,69.0,24.0,12.0,20.0,7.0,20.0,1.0,9.0,1.0,1.0,18.0,1.0,1.0,,5.0,,19.0,,1.0,,0.0,1.0,2.0,3.0,2.0,,,,9.0,18.0,10.0,19.0,2.0,1.0,0.0,2.0,5.0,5.0,0.0,0.0,0.0,39.0,16.0,"[True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False, False, False, False]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]","[True, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
43.0,enemies,25,30.0,34.0,95.0,3.0,15.0,25.0,5.0,25.0,2.0,12.0,,1.0,19.0,4.0,,2.0,5.0,,22.0,1.0,,2.0,0.0,1.0,2.0,3.0,,,,,12.0,19.0,10.0,22.0,0.0,2.0,0.0,1.0,3.0,6.0,0.0,0.0,0.0,36.0,7.0,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]","[True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
44.0,enemies,28,22.0,22.0,78.0,26.0,15.0,28.0,12.0,28.0,3.0,10.0,1.0,1.0,22.0,1.0,4.0,1.0,10.0,,26.0,2.0,,,0.0,1.0,2.0,3.0,2.0,,,,10.0,22.0,20.0,26.0,0.0,0.0,1.0,1.0,2.0,9.0,0.0,0.0,0.0,57.0,9.0,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]","[True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
45.0,enemies,31,49.0,48.0,84.0,12.0,23.0,31.0,9.0,31.0,1.0,20.0,1.0,1.0,22.0,4.0,1.0,4.0,6.0,2.0,21.0,5.0,3.0,2.0,0.0,1.0,2.0,3.0,1.0,,,,20.0,22.0,12.0,21.0,0.0,2.0,0.0,2.0,4.0,7.0,0.0,0.0,0.0,9.0,10.0,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False, False, False, False]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]","[True, True, True, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
46.0,enemies,7,7.0,2.0,14.0,79.0,4.0,7.0,7.0,7.0,,3.0,,1.0,4.0,,,3.0,6.0,1.0,6.0,1.0,,,0.0,1.0,2.0,3.0,,,,,3.0,4.0,12.0,6.0,0.0,0.0,3.0,0.0,3.0,1.0,0.0,0.0,21.0,70.0,27.0,"[True, True, True, True, False, False, False]","[True, True, True, True, True, True, True]","[True, True, True, True, True, True, True]","[True, True, True, True, True, True, True]"
47.0,enemies,32,32.0,39.0,79.0,17.0,23.0,32.0,14.0,32.0,1.0,20.0,1.0,1.0,26.0,2.0,3.0,1.0,11.0,,25.0,5.0,,2.0,0.0,1.0,2.0,3.0,2.0,1.0,,,20.0,26.0,22.0,25.0,0.0,1.0,0.0,1.0,2.0,5.0,0.0,0.0,0.0,31.0,10.0,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
48.0,enemies,13,27.0,6.0,77.0,21.0,5.0,13.0,10.0,13.0,1.0,4.0,,,13.0,,,,6.0,2.0,12.0,1.0,,,0.0,1.0,2.0,3.0,1.0,1.0,,,4.0,13.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,68.0,10.0,"[True, True, True, True, True, False, False, False, False, False, False, False, False]","[True, True, True, True, True, True, True, True, True, True, True, True, True]","[True, True, True, True, True, True, True, True, True, True, False, False, False]","[True, True, True, True, True, True, True, True, True, True, True, True, True]"
49.0,enemies,35,45.0,15.0,70.0,25.0,13.0,35.0,15.0,35.0,,10.0,3.0,,27.0,3.0,2.0,3.0,9.0,5.0,25.0,1.0,5.0,4.0,0.0,1.0,2.0,3.0,,1.0,,,10.0,27.0,18.0,25.0,0.0,2.0,0.0,0.0,2.0,11.0,0.0,0.0,0.0,40.0,6.0,"[True, True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
50.0,enemies,15,27.0,10.0,56.0,52.0,6.0,15.0,11.0,15.0,,6.0,,,11.0,2.0,1.0,1.0,8.0,1.0,12.0,,2.0,1.0,0.0,1.0,2.0,3.0,,2.0,,,6.0,11.0,16.0,12.0,1.0,1.0,1.0,1.0,4.0,3.0,0.0,0.0,0.0,69.0,18.0,"[True, True, True, True, True, True, False, False, False, False, False, False, False, False, False]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]","[True, True, True, True, True, True, True, True, True, True, True, False, False, False, False]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
51.0,enemies,11,7.0,24.0,28.0,66.0,9.0,11.0,11.0,11.0,1.0,7.0,1.0,,10.0,,1.0,,7.0,1.0,9.0,,1.0,1.0,0.0,1.0,2.0,3.0,3.0,,,,7.0,10.0,14.0,9.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,70.0,16.0,"[True, True, True, True, True, True, True, True, True, False, False]","[True, True, True, True, True, True, True, True, True, True, True]","[True, True, True, True, True, True, True, True, True, True, True]","[True, True, True, True, True, True, True, True, True, True, True]"
52.0,enemies,29,44.0,38.0,79.0,22.0,19.0,29.0,7.0,29.0,2.0,15.0,,2.0,25.0,1.0,1.0,2.0,6.0,1.0,21.0,4.0,2.0,2.0,0.0,1.0,2.0,3.0,,,,,15.0,25.0,12.0,21.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,20.0,11.0,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]","[True, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
53.0,enemies,6,15.0,11.0,41.0,52.0,5.0,6.0,6.0,6.0,,5.0,,,4.0,1.0,1.0,,5.0,,4.0,1.0,1.0,,0.0,1.0,2.0,3.0,1.0,,,,5.0,4.0,10.0,4.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,4.0,70.0,6.0,"[True, True, True, True, True, False]","[True, True, True, True, True, True]","[True, True, True, True, True, True]","[True, True, True, True, True, True]"
54.0,enemies,7,7.0,7.0,38.0,55.0,6.0,7.0,7.0,7.0,1.0,5.0,,,6.0,1.0,,,4.0,1.0,7.0,,,,0.0,1.0,2.0,3.0,1.0,1.0,,,5.0,6.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,70.0,31.0,"[True, True, True, True, True, True, False]","[True, True, True, True, True, True, True]","[True, True, True, True, True, True, True]","[True, True, True, True, True, True, True]"
55.0,party,25,25.0,79.0,14.0,10.0,25.0,25.0,6.0,25.0,1.0,22.0,2.0,,16.0,3.0,3.0,3.0,3.0,1.0,15.0,4.0,5.0,1.0,0.0,1.0,2.0,3.0,1.0,1.0,,,22.0,16.0,6.0,15.0,3.0,0.0,0.0,0.0,3.0,7.0,30.0,36.0,0.0,0.0,8.0,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]","[True, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
56.0,party,24,38.0,63.0,50.0,13.0,24.0,24.0,6.0,24.0,,22.0,1.0,1.0,22.0,1.0,,1.0,2.0,2.0,23.0,,1.0,,0.0,1.0,2.0,3.0,1.0,1.0,,,22.0,22.0,4.0,23.0,1.0,2.0,1.0,1.0,5.0,3.0,0.0,31.0,0.0,0.0,12.0,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]","[True, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
57.0,enemies,20,29.0,16.0,50.0,49.0,9.0,20.0,8.0,20.0,2.0,7.0,,,16.0,1.0,1.0,2.0,7.0,1.0,14.0,5.0,,1.0,0.0,1.0,2.0,3.0,,,,,7.0,16.0,14.0,14.0,1.0,0.0,1.0,0.0,2.0,5.0,0.0,0.0,0.0,56.0,7.0,"[True, True, True, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]","[True, True, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
58.0,enemies,19,21.0,14.0,67.0,24.0,11.0,19.0,13.0,19.0,1.0,9.0,,1.0,16.0,,2.0,1.0,10.0,1.0,13.0,2.0,4.0,,0.0,1.0,2.0,3.0,,2.0,,,9.0,16.0,20.0,13.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,65.0,14.0,"[True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False, False, False, False]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]","[True, True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False, False]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
