combat_nbr,winner,rounds,damage_dealt_Aarakocra Ranger,damage_dealt_Aragorn,damage_dealt_Wyvern,damage_dealt_Orc,turns_survived_Aragorn,turns_survived_Aarakocra Ranger,turns_survived_Orc,turns_survived_Wyvern,actions_used_Aragorn_Disengage,actions_used_Aragorn_Attack,actions_used_Aragorn_Dodge,actions_used_Aragorn_Dash,actions_used_Aarakocra Ranger_Attack,actions_used_Aarakocra Ranger_Dodge,actions_used_Aarakocra Ranger_Dash,actions_used_Aarakocra Ranger_Disengage,actions_used_Orc_Attack,actions_used_Orc_Dash,actions_used_Wyvern_Attack,actions_used_Wyvern_Dash,actions_used_Wyvern_Disengage,actions_used_Wyvern_Dodge,initiative_order_Aragorn,initiative_order_Aarakocra Ranger,initiative_order_Orc,initiative_order_Wyvern,actions_used_Orc_Dodge,actions_used_Orc_Disengage,reactions_used_Wyvern_Opportunity Attack,reactions_used_Orc_Opportunity Attack,attack_count_Aragorn,attack_count_Aarakocra Ranger,attack_count_Orc,attack_count_Wyvern,crit_count_Aragorn,crit_count_Aarakocra Ranger,crit_count_Orc,crit_count_Wyvern,total_crits,turns_no_damage,hp_end_Aragorn,hp_end_Aarakocra Ranger,hp_end_Orc,hp_end_Wyvern,damage_this_round,survival_sequence_Aragorn,survival_sequence_Aarakocra Ranger,survival_sequence_Orc,survival_sequence_Wyvern
2.0,enemies,13,7.0,18.0,52.0,44.0,8.0,13.0,13.0,13.0,,7.0,1.0,,11.0,1.0,,1.0,7.0,3.0,11.0,,1.0,1.0,0.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
3.0,enemies,14,14.0,11.0,48.0,60.0,7.0,14.0,14.0,14.0,,5.0,1.0,1.0,11.0,,1.0,2.0,11.0,1.0,11.0,1.0,1.0,1.0,0.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,
4.0,enemies,11,16.0,17.0,70.0,60.0,7.0,11.0,11.0,11.0,1.0,6.0,,,6.0,2.0,1.0,2.0,11.0,,9.0,2.0,,,0.0,1.0,2.0,3.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,,
5.0,enemies,13,24.0,11.0,54.0,45.0,7.0,13.0,13.0,13.0,,7.0,,,10.0,,2.0,1.0,10.0,2.0,9.0,3.0,,1.0,0.0,1.0,2.0,3.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,
6.0,enemies,12,8.0,5.0,38.0,65.0,6.0,12.0,12.0,12.0,1.0,5.0,,,7.0,1.0,,4.0,10.0,,7.0,1.0,2.0,2.0,0.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
7.0,enemies,25,20.0,39.0,33.0,92.0,9.0,25.0,25.0,11.0,,8.0,,1.0,24.0,,1.0,,18.0,1.0,9.0,,1.0,1.0,0.0,1.0,2.0,3.0,3.0,3.0,,2.0,,,,,,,,,,,,,,,,,,,
8.0,enemies,14,12.0,22.0,51.0,71.0,8.0,14.0,14.0,14.0,,7.0,1.0,,11.0,1.0,1.0,1.0,12.0,2.0,11.0,2.0,,1.0,0.0,1.0,2.0,3.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
9.0,enemies,26,39.0,17.0,77.0,56.0,15.0,26.0,20.0,26.0,2.0,9.0,2.0,2.0,18.0,1.0,2.0,5.0,17.0,3.0,17.0,3.0,2.0,4.0,0.0,1.0,2.0,3.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,,
10.0,enemies,8,11.0,10.0,45.0,60.0,5.0,8.0,8.0,8.0,,4.0,1.0,,7.0,,1.0,,7.0,1.0,5.0,,1.0,2.0,0.0,1.0,2.0,3.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
1.0,enemies,11,19.0,6.0,39.0,65.0,7.0,11.0,11.0,11.0,,6.0,1.0,,9.0,1.0,,1.0,8.0,,9.0,1.0,1.0,,0.0,1.0,2.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
